Genus,species,Genus_species,Genus_Smithspecies,smith tree names,location,min.height.cm ,max.height.cm
Potentilla,gracilis,Potentilla_gracilis,Potentilla_newberryi,newberryi,regional,40,80
,,,,,,,
Prunus,virginiana,Prunus_virginiana,Prunus_virginiana,virginiana,regional,100,500
,,,,,,,
Pseudotsuga,menziesii,Pseudotsuga_menziesii,Pseudotsuga_menziesii,menziesii,regional,2133.5,9144
,,,,,,,
Ribes,cereum,Ribes_cereum,Ribes_cereum,cereum,regional,50,150
,,,,,,,
Symphoricarpos,oreophilus,Symphoricarpos_oreophilus,Symphoricarpos_oreophilus,oreophilus,regional,50,150
,,,,,,,
Thalictrum,occidentale,Thalictrum_occidentale,Thalictrum_occidentale,occidentale,regional,30.5,101.5
,,,,,,,
Trifolium,variegatum,Trifolium_variegatum,Trifolium_variegatum,variegatum,regional,10.25,35.5
,,,,,,,
Viola,purpurea,Viola_purpurea,Viola_purpurea,purpurea,regional,0.5,1.5
,,,,,,,
Atriplex,canescens,Atriplex_canescens,Atriplex_canescens,canescens,regional,61,183
,,,,,,,
Atriplex,confertifolia,Atriplex_confertifolia,Atriplex_prostrata,prostrata,regional,30.5,91.5
,,,,,,,
Grayia,spinosa,Grayia_spinosa,Grayia_spinosa,spinosa,regional,30.5,101.5
,,,,,,,
Krascheninnikovia ,lanata,Krascheninnikovia _lanata,Krascheninnikovia_lanata,lanata,regional,20.5,122
,,,,,,,
Sarcobatus,vermiculatus,Sarcobatus_vermiculatus,Sarcobatus_vermiculatus,vermiculatus,regional,91.5,305
,,,,,,,
Artemisia,rigida,Artemisia_rigida,Artemisia_rigida,rigida,regional,20,61
,,,,,,,
Balsamorhiza ,careyana,Balsamorhiza _careyana,Balsamorhiza_careyana,careyana,regional,20,61
,,,,,,,
Crepis,atribarba,Crepis_atribarba,Crepis_nana,nana,regional,20,71
,,,,,,,
Erigeron,filifolius,Erigeron_filifolius,Erigeron_ursinus,ursinus,regional,20,101
,,,,,,,
Erigeron,poliospermus,Erigeron_poliospermus,Erigeron_acris,acris,regional,8,15
,,,,,,,
Gutierrezia,sarothrae,Gutierrezia_sarothrae,Gutierrezia_sarothrae,sarothrae,regional,20,46
,,,,,,,
Helianthus,cusickii,Helianthus_cusickii,Helianthus_cusickii,cusickii,regional,30.5,91.5
,,,,,,,
Machaeranthera,canescens,Machaeranthera_canescens,Machaeranthera_heterophylla,heterophylla,regional,30.5,122
,,,,,,,
Stanleya,tomentosa,Stanleya_tomentosa,Stanleya_tomentosa,tomentosa,regional,40,120
,,,,,,,
Thelypodium,laciniatum,Thelypodium_laciniatum,Thelypodium_laciniatum,laciniatum,regional,30.5,183
,,,,,,,
Achnatherum,hymenoides,Achnatherum_hymenoides,Achnatherum_stillmanii,stillmanii,regional,20,76
,,,,,,,
Distichlis,stricta,Distichlis_stricta,Distichlis_spicata,spicata,regional,38,89
,,,,,,,
Hesperostipa,comata,Hesperostipa_comata,Hesperostipa_comata,comata,regional,30.5,122
,,,,,,,
Koeleria,cristata,Koeleria_cristata,Koeleria_vallesiana,vallesiana,regional,15,61
,,,,,,,
Pascopyrum,smithii,Pascopyrum_smithii,Pascopyrum_smithii,smithii,regional,30.5,91.5
,,,,,,,
Pseudoroegneria,spicata,Pseudoroegneria_spicata,Pseudoroegneria_none,none,regional,46,122
,,,,,,,
Sporobolus,cryptandrus,Sporobolus_cryptandrus,Sporobolus_cryptandrus,cryptandrus,regional,28,101.5
,,,,,,,
Salvia,dorrii,Salvia_dorrii,Salvia_sclarea,sclarea,regional,30.5,86
,,,,,,,
Lupinus,leucophyllus,Lupinus_leucophyllus,Lupinus_leucophyllus,leucophyllus,regional,30.5,61
,,,,,,,
Lupinus,sericeus,Lupinus_sericeus,Lupinus_lepidus,lepidus,regional,20.25,61
,,,,,,,
Dalea,ornata,Dalea_ornata,Dalea_mollis,mollis,regional,10.25,60
,,,,,,,
Ladeania,comata,Ladeania_comata,Ladeania_juncea,juncea,regional,10.25,81
,,,,,,,
Triteleia,grandiflora,Triteleia_grandiflora,Triteleia_hyacinthina,hyacinthina,regional,30.5,51
,,,,,,,
Linum,lewisii,Linum_lewisii,Linum_lewisii,lewisii,regional,15,91.5
,,,,,,,
Mentzelia ,laevicaulis,Mentzelia _laevicaulis,Mentzelia_laevicaulis,laevicaulis,regional,23,101.5
,,,,,,,
Sphaeralcea,munroana,Sphaeralcea_munroana,Sphaeralcea_coccinea,coccinea,regional,61,91.5
,,,,,,,
Oenothera,pallida,Oenothera_pallida,Oenothera_biennis,biennis,regional,15,61
,,,,,,,
Eriogonum,niveum,Eriogonum_niveum,Eriogonum_angulosum,angulosum,regional,15,46
,,,,,,,
Eriogonum,umbellatum,Eriogonum_umbellatum,Eriogonum_umbellatum,umbellatum,regional,10.25,38
,,,,,,,
Eriogonum,sphaerocephalum,Eriogonum_spaerocephalum,Eriogonum_deflexum,deflexum,regional,15,40.5
,,,,,,,
Eriogonum,thymoides,Eriogonum_thymoides,Eriogonum_pusillum,pusillum,regional,15,25.5
,,,,,,,
Rumex,venosus,Rumex_venosus,Rumex_none,none,regional,15,46
,,,,,,,
Penstemon,acuminatus,Penstemon_acuminatus,Penstemon_acuminatus,acuminatus,regional,30.5,61
,,,,,,,
Pteryxia,terebinthinus,Pteryxia_terebinthinus,Pteryxia_terebinthina,terebinthina,regional,10.25,51
,,,,,,,
Lomatium,macrocarpum,Lomatium_macrocarpum,Lomatium_macrocarpum,macrocarpum,regional,10.25,51
,,,,,,,
Lomatium,triternatum,Lomatium_triternatum,Lomatium_triternatum,triternatum,regional,15,76
,,,,,,,
Cystopteris,fragilis,Cystopteris_fragilis,Cystopteris_none,none,regional,12.7,25.4
,,,,,,,
Dryopteris,filix,Dryopteris_filix,Dryopteris_none,none,regional,61,91.5
,,,,,,,
Woodsia,scopulina,Woodsia_scopulina,Woodsia_none,none,regional,10.25,20
,,,,,,,
Equisetum,hyemale,Equisetum_hyemale,Equisetum_none,none,regional,61,122
,,,,,,,
Equisetum,laevigatum,Equisetum_laevigatum,Equisetum_none,none,regional,20,150
,,,,,,,
Equisetum,variegatum,Equisetum_variegatum,Equisetum_none,none,regional,15.25,45.75
,,,,,,,
Juniperus,osteosperma,Juniperus_osteosperma,Juniperus_osteosperma,osteosperma,regional,457.2,823
,,,,,,,
Acer,glabrum,Acer_glabrum,Acer_glabrum,glabrum,regional,91.5,914.5
,,,,,,,
Amaranthus,albus,Amaranthus_albus,Amaranthus_albus,albus,regional,10.25,100
,,,,,,,
Amaranthus,californicus,Amaranthus_californicus,Amaranthus_californicus,californicus,regional,10.25,49
,,,,,,,
Amaranthus,retroflexus,Amaranthus_retroflexus,Amaranthus_retroflexus,retroflexus,regional,30,200
,,,,,,,
Angelica,pinnata,Angelica_pinnata,Angelica_pinnata,pinnata,regional,30.5,91.5
,,,,,,,
Cymopterus,glomeratus,Cymopterus_glomeratus,Cymopterus_corrugatus,corrugatus,regional,2,5
,,,,,,,
Cymopterus,longipes,Cymopterus_longipes,Cymopterus_longipes,longipes,regional,5,20.25
,,,,,,,
Heracleum,maximum,Heracleum_maximum,Heracleum_maximum,maximum,regional,91.5,305
,,,,,,,
Lomatium,linearifolia,Lomatium_linearifolia,Lomatium_canbyi,canbyi,regional,2,12
,,,,,,,
Osmorhiza,berteroi,Osmorhiza_berteroi,Osmorhiza_berteroi,berteroi,regional,30.5,122
,,,,,,,
Osmorhiza,occidentalis,Osmorhiza_occidentalis,Osmorhiza_occidentalis,occidentalis,regional,30.5,122
,,,,,,,
Perideridia,gairdneri,Perideridia_gairdneri,Perideridia_gairdneri,gairdneri,regional,30.5,122
,,,,,,,
Apocynum,androsaemifolium,Apocynum_androsaemifolium,Apocynum_androsaemifolium,androsaemifolium,regional,15.25,40.5
,,,,,,,
Apocynum,cannabinum,Apocynum_cannabinum,Apocynum_cannabinum,cannabinum,regional,30.5,91.5
,,,,,,,
Apocynum,floribundum,Apocynum_floribundum,Apocynum_hendersonii,hendersonii,regional,20,50
,,,,,,,
Asclepias,fascicularis,Asclepias_fascicularis,Asclepias_fascicularis,fascicularis,regional,61,122
,,,,,,,
Asclepias,speciosa,Asclepias_speciosa,Asclepias_incarnata,incarnata,regional,45.75,127
,,,,,,,
Asclepias,subverticillata,Asclepias_subverticillata,Asclepias_syriaca,syriaca,regional,20,100
,,,,,,,
Agoseris,grandiflora,Agoseris_grandiflora,Agoseris_grandiflora,grandiflora,regional,25.5,89
,,,,,,,
Agoseris,heterophylla,Agoseris_heterophylla,Agoseris_heterophylla,heterophylla,regional,10.25,20.25
,,,,,,,
Ambrosia,acanthicarpa,Ambrosia_acanthicarpa,Ambrosia_psilostachya,psilostachya,regional,10.25,80
,,,,,,,
Anaphalis,margaritacea,Anaphalis_margaritacea,Anaphalis_margaritacea,margaritacea,regional,20.25,101.5
,,,,,,,
Antennaria,corymbosa,Antennaria_corymbosa,Antennaria_carpatica,carpatica,regional,5,15.25
,,,,,,,
Antennaria,dimorpha,Antennaria_dimorpha,Antennaria_howellii_subsp._neodioica,howellii_subsp._neodioica,regional,2.5,7.5
,,,,,,,
Anthemis,cotula,Anthemis_cotula,Anthemis_cotula,cotula,regional,15.25,61
,,,,,,,
Arctium,minus,Arctium_minus,Arctium_minus,minus,regional,61,122
,,,,,,,
Arnica,chamissonis,Arnica_chamissonis,Arnica_chamissonis,chamissonis,regional,30.5,91.5
,,,,,,,
Arnica,longifolia,Arnica_longifolia,Arnica_longifolia,longifolia,regional,30.5,61
,,,,,,,
Arnica,mollis,Arnica_mollis,Arnica_mollis,mollis,regional,20.25,61
,,,,,,,
Arnica,sororia,Arnica_sororia,Arnica_sororia,sororia,regional,20.25,61
,,,,,,,
Artemisia,cana,Artemisia_cana,Artemisia_cana,cana,regional,39.5,100.5
,,,,,,,
Artemisia,dracunculus,Artemisia_dracunculus,Artemisia_dracunculus,dracunculus,regional,61,122
,,,,,,,
Artemisia,ludoviciana,Artemisia_ludoviciana,Artemisia_ludoviciana,ludoviciana,regional,30.5,101.5
,,,,,,,
Artemisia,nova,Artemisia_nova,Artemisia_nova,nova,regional,10.25,30
,,,,,,,
Symphyotrichum,campestre,Symphyotrichum_campestrie,Symphyotrichum_ciliatum,ciliatum,regional,15,40
,,,,,,,
Aster,chilensis,Aster_chilensis,Aster_integrifolius,integrifolius,regional,51,101.5
,,,,,,,
Symphyotrichum,eatonii,Symphyotrichum_eatonii,Symphyotrichum_subspicatum,subspicatum,regional,61,122
,,,,,,,
Eucephalus,elegans,Eucephalus_elegans,Eucephalus_breweri,breweri,regional,30,70
,,,,,,,
Ionactis,alpina,Ionactis_alpina,Ionactis_alpina,alpina,regional,5,20
,,,,,,,
Balsamorhiza ,hookeri,Balsamorhiza _hookeri,Balsamorhiza_incana,incana,regional,10.25,30.5
,,,,,,,
Brickellia,grandiflora,Brickellia_grandiflora,Brickellia_grandiflora,grandiflora,regional,20.25,76
,,,,,,,
Heterotheca,villosa,Heterotheca_villosa,Heterotheca_villosa,villosa,regional,15.25,76
,,,,,,,
Cirsium,canovirens,Cirsium_canovirens,Cirsium_edule,edule,regional,38,101.5
,,,,,,,
